"id","n","label","parent"
"total  -  Music  -  Guatemala",30,"Guatemala","total  -  Music"
"total  -  Mystery  -  Guatemala",44,"Guatemala","total  -  Mystery"
"total  -  Romance  -  Guatemala",115,"Guatemala","total  -  Romance"
"total  -  Thriller  -  Guatemala",58,"Guatemala","total  -  Thriller"
"total  -  Action  -  Honduras",145,"Honduras","total  -  Action"
"total  -  Adventure  -  Honduras",94,"Honduras","total  -  Adventure"
"total  -  Animation  -  Honduras",46,"Honduras","total  -  Animation"
"total  -  Comedy  -  Honduras",190,"Honduras","total  -  Comedy"
"total  -  Crime  -  Honduras",102,"Honduras","total  -  Crime"
"total  -  Drama  -  Honduras",304,"Honduras","total  -  Drama"
"total  -  Horror  -  Honduras",32,"Honduras","total  -  Horror"
"total  -  Mystery  -  Honduras",46,"Honduras","total  -  Mystery"
"total  -  Romance  -  Honduras",125,"Honduras","total  -  Romance"
"total  -  Thriller  -  Honduras",67,"Honduras","total  -  Thriller"
"total  -  Action  -  Hong Kong",249,"Hong Kong","total  -  Action"
"total  -  Adventure  -  Hong Kong",116,"Hong Kong","total  -  Adventure"
"total  -  Comedy  -  Hong Kong",143,"Hong Kong","total  -  Comedy"
"total  -  Crime  -  Hong Kong",113,"Hong Kong","total  -  Crime"
"total  -  Drama  -  Hong Kong",320,"Hong Kong","total  -  Drama"
"total  -  Horror  -  Hong Kong",49,"Hong Kong","total  -  Horror"
"total  -  Mystery  -  Hong Kong",75,"Hong Kong","total  -  Mystery"
"total  -  Romance  -  Hong Kong",120,"Hong Kong","total  -  Romance"
"total  -  Sci Fi  -  Hong Kong",64,"Hong Kong","total  -  Sci Fi"
"total  -  Thriller  -  Hong Kong",68,"Hong Kong","total  -  Thriller"
"total  -  Action  -  Hungary",195,"Hungary","total  -  Action"
"total  -  Adventure  -  Hungary",124,"Hungary","total  -  Adventure"
"total  -  Animation  -  Hungary",68,"Hungary","total  -  Animation"
"total  -  Comedy  -  Hungary",191,"Hungary","total  -  Comedy"
"total  -  Crime  -  Hungary",143,"Hungary","total  -  Crime"
"total  -  Drama  -  Hungary",307,"Hungary","total  -  Drama"
"total  -  Fantasy  -  Hungary",45,"Hungary","total  -  Fantasy"
"total  -  Mystery  -  Hungary",56,"Hungary","total  -  Mystery"
"total  -  Romance  -  Hungary",93,"Hungary","total  -  Romance"
"total  -  Thriller  -  Hungary",53,"Hungary","total  -  Thriller"
"total  -  Action  -  Iceland",188,"Iceland","total  -  Action"
"total  -  Adventure  -  Iceland",137,"Iceland","total  -  Adventure"
"total  -  Animation  -  Iceland",55,"Iceland","total  -  Animation"
"total  -  Comedy  -  Iceland",189,"Iceland","total  -  Comedy"
"total  -  Crime  -  Iceland",129,"Iceland","total  -  Crime"
"total  -  Drama  -  Iceland",284,"Iceland","total  -  Drama"
"total  -  Mystery  -  Iceland",50,"Iceland","total  -  Mystery"
"total  -  Romance  -  Iceland",78,"Iceland","total  -  Romance"
"total  -  Sci Fi  -  Iceland",43,"Iceland","total  -  Sci Fi"
"total  -  Thriller  -  Iceland",53,"Iceland","total  -  Thriller"
"total  -  Action  -  India",266,"India","total  -  Action"
"total  -  Adventure  -  India",73,"India","total  -  Adventure"
"total  -  Comedy  -  India",176,"India","total  -  Comedy"
"total  -  Crime  -  India",219,"India","total  -  Crime"
"total  -  Drama  -  India",391,"India","total  -  Drama"
"total  -  Fantasy  -  India",44,"India","total  -  Fantasy"
"total  -  Horror  -  India",29,"India","total  -  Horror"
"total  -  Mystery  -  India",79,"India","total  -  Mystery"
"total  -  Romance  -  India",97,"India","total  -  Romance"
"total  -  Thriller  -  India",73,"India","total  -  Thriller"
"total  -  Action  -  Indonesia",230,"Indonesia","total  -  Action"
"total  -  Adventure  -  Indonesia",91,"Indonesia","total  -  Adventure"
"total  -  Comedy  -  Indonesia",168,"Indonesia","total  -  Comedy"
"total  -  Crime  -  Indonesia",137,"Indonesia","total  -  Crime"
"total  -  Drama  -  Indonesia",309,"Indonesia","total  -  Drama"
"total  -  Horror  -  Indonesia",51,"Indonesia","total  -  Horror"
"total  -  Mystery  -  Indonesia",76,"Indonesia","total  -  Mystery"
"total  -  Romance  -  Indonesia",109,"Indonesia","total  -  Romance"
"total  -  Sci Fi  -  Indonesia",39,"Indonesia","total  -  Sci Fi"
"total  -  Thriller  -  Indonesia",79,"Indonesia","total  -  Thriller"
"total  -  Action  -  Ireland",146,"Ireland","total  -  Action"
"total  -  Adventure  -  Ireland",132,"Ireland","total  -  Adventure"
"total  -  Animation  -  Ireland",68,"Ireland","total  -  Animation"
"total  -  Comedy  -  Ireland",210,"Ireland","total  -  Comedy"
"total  -  Crime  -  Ireland",130,"Ireland","total  -  Crime"
